old_url,redirect_to,status_code,reason
/hoc-truong-quoc-te-xoa-tan-noi-lo-dau-tu-cho-con-di-du-hoc-ngay-25-thang-06-nam-2018/,/tuyen-sinh/hoc-phi-mam-non,301,Past event - consolidated
/khi-sep-la-fan-cung-bong-da-ngay-23-thang-11-nam-2017/,/,301,Past event - consolidated
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-10a1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-10a2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-10b1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-10b2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-10c1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-10c2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-11a1-2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-11a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-11a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-11b1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-11b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-12a1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-12a2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-12b1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-12b2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-6a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-7a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-8a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-8a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-8b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-9a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2016-anh-du-thi-lop-9b1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-10a2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-10b1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-10c1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-10d1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-11a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-11b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-11c1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-12a1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-12a2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-12b1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-12b2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-12c1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-6a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-6a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-7a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-7a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-8a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-8a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-9a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2017-anh-du-thi-lop-9b1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10a1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10a2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10b2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10c1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10c2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10d1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10d2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10e1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-10e2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-11a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-11a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-11b1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-11b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-11c1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-11d1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-12a1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-12a2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-12b1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-12b2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-12c1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-6a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-7a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-7a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-8a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-8a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-8b1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-8b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-9a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-9a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2018-anh-du-thi-lop-9b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-10a1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-10a2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-10b2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-10c1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-10d2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-10e2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-11a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-11a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-11b1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-11b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-11c1-3/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-11d1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-11d2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-12a1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-12a2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-12b1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-12b2/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-12c1/,/thpt,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-6a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-6b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-7a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-7a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-7b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-8a2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-8b1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-8b2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-9a1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-9a2-2/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-9b1/,/,301,Legacy content merged into pillar page
/khoanh-khac-thay-tro-2019-anh-du-thi-lop-9b2/,/,301,Legacy content merged into pillar page
/king-queen-2018-trong-dem-tiec-prom-night-ngay-19-thang-05-nam-2018/,/,301,Past event - consolidated
/last-night-tai-truong-viet-anh-ngay-19-thang-05-nam-2018/,/,301,Past event - consolidated
/le-khai-giang-nam-noc-2017-2018-cua-truong-viet-anh-ngay-01-thang-09-nam-2017/,/blog/su-kien-sap-toi-2026,301,Past event - consolidated
/le-tong-ket-ngay-28-thang-05-nam-2018/,/,301,Past event - consolidated
/loi-ich-bat-ngo-tu-hoat-dong-ngoai-khoa-cho-con-ban-ngay-30-thang-06-nam-2018/,/,301,Past event - consolidated
/lua-chon-khoa-he-khong-he-don-gian-ngay-28-thang-05-nam-2018/,/,301,Past event - consolidated
/mot-thoi-thanh-xuan-da-qua-ngay-26-thang-05-nam-2018/,/,301,Past event - consolidated
/mua-he-vua-lo-chuyen-hoc-vua-lo-chuyen-choi-ngay-13-thang-06-nam-2018/,/,301,Past event - consolidated
